gene	t	p	model_p	fdr	variable
LINC00574	2.808746352257863	0.005753931398249357	0.0013557868208050917	0.011992959808331599	is_normal
LINC00578	-1.8996042721957014	0.059734991391789165	0.001673610555872144	0.09477431869996543	is_normal
LINC00612	-3.028216653325559	0.002975909917209816	4.393028828765765e-8	0.0066323774400317455	is_normal
LINC00620	6.787745326964449	3.8180332932252823e-10	4.1919942189648896e-30	2.9857783112170186e-9	is_normal
LINC00622	7.691002167446461	3.401806932459487e-12	1.1257084426693005e-18	3.598968715632064e-11	is_normal
LINC00623	-1.5402423937555083	0.12596982442414525	5.487727497712427e-11	0.18182595163218837	is_normal
LINC00626	1.5977029353662662	0.11257487143573475	1.544422515356272e-9	0.16488983351755265	is_normal
LINC00628	4.490879498702756	1.5652197257818036e-5	0.008041634778481882	5.6096328524204415e-5	is_normal
LINC00638	2.833606448324762	0.005349460348451522	9.70423192071188e-4	0.011221285387076339	is_normal
LINC00639	-4.356589878428543	2.683542925743606e-5	0.0014725749562400304	9.205571302234395e-5	is_normal
LINC00641	3.7315675430625648	2.849354921143057e-4	6.599118779807668e-8	7.940104715987335e-4	is_normal
LINC00648	0.757314285851243	0.4502534506866471	0.2661299397846939	0.5300728176337703	is_normal
LINC00649	2.5887851135462365	0.010745684833040841	8.033200033706937e-6	0.020932843608959296	is_normal
LINC00654	-4.198819200690535	4.986195117237407e-5	3.1727925421716783e-4	1.6235088168232333e-4	is_normal
LINC00659	5.25269766150328	6.070572413545475e-7	9.971759748386785e-7	2.848701513542552e-6	is_normal
LINC00663	3.0850442825817677	0.002494395342319821	2.2697605325839864e-5	0.0056649507113571175	is_normal
LINC00665	1.7465323434413689	0.0831173556189734	0.08486594670626113	0.1266122338539156	is_normal
LINC00667	2.056095419850975	0.041805907114925774	2.6824250331141e-4	0.06928482218787886	is_normal
LINC00670	3.388444412955353	9.345669081592765e-4	2.727353785910259e-9	0.002328897766539438	is_normal
LINC00671	7.846631423499907	1.4765040332444002e-12	1.6611938266638835e-30	1.6698952517239236e-11	is_normal
LINC00674	2.1821010870888125	0.030927783226215817	0.020463416918441606	0.053267455539456526	is_normal
LINC00678	2.999925671221156	0.0032463763195976895	1.1129740583896844e-6	0.007158181050816875	is_normal
LINC00700	4.98322223056427	1.985726734666931e-6	3.2289613553880956e-15	8.428572634013972e-6	is_normal
LINC00702	-4.5224928306241	1.3765349174332185e-5	3.2641374723019285e-5	4.9841033033065045e-5	is_normal
LINC00707	-0.8634506612087712	0.3895047778940087	0.9999947241605783	0.47050414281522124	is_normal
LINC00844	4.418712756732899	2.0939895860141225e-5	5.708204853416202e-6	7.304084466859161e-5	is_normal
LINC00847	-3.581998738043533	5.61158577825864e-4	8.490143486815812e-7	0.0014646872900022365	is_normal
LINC00852	-1.3335167736757596	0.18473049122094565	1.022422597431187e-5	0.2519816167152808	is_normal
LINC00853	3.220304183961339	0.0016233849887652048	7.587503981238468e-4	0.0038519517194273893	is_normal
LINC00857	4.863455732606872	3.3218790589065353e-6	8.027821782485911e-8	1.3537939290569763e-5	is_normal
LINC00861	-7.829658237162588	1.6176398525380582e-12	1.8248890695278062e-17	1.8163968766507023e-11	is_normal
LINC00865	1.8130382198153185	0.0721691328257928	1.0137525875268607e-8	0.11173450008581326	is_normal
LINC00869	-1.8576034475816021	0.06552329135471217	2.474557248714153e-6	0.10266335576724528	is_normal
LINC00882	2.110951509584469	0.03672161733440455	0.10502000468328797	0.061884839927819776	is_normal
LINC00886	3.998103401287527	1.072495700877668e-4	0.009018539770914883	3.2593507476316795e-4	is_normal
LINC00887	-12.172595134762897	4.034472623803985e-23	2.132764903707575e-56	2.930607639930194e-21	is_normal
LINC00899	2.185529522560111	0.030669863180993656	2.4374594190180897e-7	0.052861999993464116	is_normal
LINC00900	-10.368073918653424	1.1702217418631803e-18	1.3653354312875174e-17	3.648399289012375e-17	is_normal
LINC00907	3.7637177627482785	2.538840046359889e-4	2.195672581304822e-12	7.155466786660712e-4	is_normal
LINC00910	5.381928044147213	3.5048815002043453e-7	3.217700519798876e-7	1.7167462669753088e-6	is_normal
LINC00920	-4.802823154402922	4.2976634502534294e-6	5.160957976197789e-5	1.715656468582757e-5	is_normal
LINC00921	-1.9750990863729032	0.05040880314183214	0.04462842021269203	0.08179169301953926	is_normal
LINC00923	0.7792880814190367	0.4372484659345568	0.07295168271334963	0.5174425077216808	is_normal
LINC00924	0.17769952855275445	0.8592398629474699	9.341371517943666e-23	0.8915040604223049	is_normal
LINC00926	0.06301768523056239	0.9498507234284008	6.1531496817367235e-6	0.9636642472680363	is_normal
LINC00934	5.490401659620386	2.0710462017569385e-7	7.044923448281133e-8	1.0559038739203611e-6	is_normal
LINC00937	0.410194650435267	0.6823489236096558	0.863945507471925	0.7418346730062699	is_normal
LINC00938	3.693376697887224	3.2650034850244215e-4	0.010548430336792675	8.970643226937833e-4	is_normal
LINC00941	-3.1062972165752747	0.0023336449911179925	0.048460336774474956	0.005332532060132115	is_normal
LINC00942	-1.9093328346700233	0.05845726924451633	0.18756935840201364	0.09302990832227263	is_normal
LINC00943	-6.0131723577457485	1.7763046512783912e-8	1.835462327782771e-17	1.0781350160197904e-7	is_normal
LINC00944	-3.1062223502877226	0.002334194012584037	5.8311472200378945e-9	0.00533292185884148	is_normal
LINC00957	0.4751205305719429	0.6355107884563619	1.7089965455066296e-4	0.7003689709022485	is_normal
LINC00958	-0.49784187081415543	0.6194497337083056	0.0014880329906412566	0.68664246420337	is_normal
LINC00960	-2.001140551060413	0.04749222827276213	4.519899685388336e-5	0.07766745744687988	is_normal
LINC00963	-0.3887580473923705	0.6981010496251279	0.1389057912017951	0.7559274620652607	is_normal
LINC00967	1.0804426234915234	0.2819766616414383	2.8574664800244966e-5	0.3596682762356217	is_normal
LINC00970	2.6223505460113343	0.009791950051345245	1.4358261476744527e-4	0.019258640631340848	is_normal
LINC00987	-7.6147405565309665	5.110224575361336e-12	2.91280745490923e-18	5.279566328151902e-11	is_normal
LINC00989	-1.3492793257026423	0.17962910803019985	1.7885205551020746e-5	0.24611894898994421	is_normal
LINC00997	3.6505759625262075	3.7988632127363493e-4	8.368814650390208e-6	0.001028305424392636	is_normal
LINC01003	2.0316331774587564	0.04426077762561933	0.01764455762135098	0.07295004424564065	is_normal
LINC01004	5.287606520070556	5.192637010012313e-7	1.0888315257175192e-15	2.468780052128661e-6	is_normal
LINC01011	0.1439871063069301	0.8857370995020235	0.31954615218896454	0.9126129418865625	is_normal
LINC01012	5.317378668345385	4.542792559017916e-7	1.5359791953008253e-11	2.1759698416614707e-6	is_normal
LINC01023	4.047368679976287	8.907881713997152e-5	1.0545018684331625e-4	2.7619333138316363e-4	is_normal
LINC01060	-0.7321172684265976	0.46543538397552087	7.402329152616126e-7	0.5448961893314813	is_normal
LINC01087	7.096981279606165	7.784696008345694e-11	9.630523996280907e-15	6.738448166437807e-10	is_normal
LINC01089	4.8685097902972645	3.2510331868937326e-6	1.162632918413319e-10	1.3290776883627667e-5	is_normal
LINC01091	4.649659097836559	8.16290187010816e-6	3.981572835595223e-23	3.10309180344117e-5	is_normal
LINC01094	-10.239581929022139	2.428996582845788e-18	3.8430757475937826e-33	7.014225378168616e-17	is_normal
LINC01099	4.3533444490659745	2.718374337188429e-5	3.895704024611737e-5	9.31598520419731e-5	is_normal
LINC01106	10.319671932423269	1.5408995483595253e-18	6.020797171514778e-24	4.64975512537097e-17	is_normal
LINC01111	2.8673649809975634	0.004841766035586252	0.9226400514783426	0.010264806224384153	is_normal
LINC01116	-0.19148808312709814	0.8484466397894828	0.2886432969317598	0.8824496308150707	is_normal
LINC01123	7.169835638501768	5.3299869658805196e-11	9.582947166479e-13	4.717975899697757e-10	is_normal
LINC01126	1.1790007239891278	0.2405848043944577	0.011455597648389921	0.314763816129115	is_normal
LINC01127	-0.9782763203623226	0.32978301275616373	0.03412298004775556	0.41003195833420325	is_normal
LINC01128	3.7266988849301153	2.8994060734743697e-4	1.9604509028964728e-10	8.063633390053448e-4	is_normal
LINC01132	-2.5518322824945265	0.01189160625130468	7.507411949885959e-6	0.022914879706465954	is_normal
LINC01138	-0.5466970934401312	0.5855386226786052	5.763383729445173e-17	0.656332347342261	is_normal
LINC01139	3.193555469772843	0.00176915656909283	6.847019642024994e-12	0.004162095888423398	is_normal
LINC01140	-1.9144654785330657	0.057792468590613696	4.901341467476619e-12	0.09214819283464055	is_normal
LINC01144	7.0326913808791	1.0860723803129356e-10	1.3481198340198852e-12	9.214287768434609e-10	is_normal
LINC01152	-1.5440368998394538	0.12504816521537956	0.06759111578243993	0.1806806874003003	is_normal
LINC01159	10.051473822460837	7.065418011251435e-18	1.949083518524575e-19	1.8645294122575884e-16	is_normal
LINC01160	5.31749166906259	4.540484101348301e-7	8.04669524692522e-14	2.175603602726972e-6	is_normal
LINC01176	1.2716841211424217	0.20579112617300158	2.412092404157429e-7	0.2760861148162546	is_normal
LINC01205	3.2703638774324384	0.0013801754796955606	1.9385021940051884e-11	0.0033195823280201125	is_normal
LINC01209	0.8688112016435832	0.3865765374684025	5.72069022034097e-4	0.46745098977914995	is_normal
LINC01226	2.9978277642383198	0.0032673089072981273	7.634230320051971e-12	0.007194205800257063	is_normal
LINC01232	3.1696366516920373	0.0019097260814847391	1.3167718681119387e-4	0.004455605950377971	is_normal
LINC01234	-1.9455227985216972	0.0539040609287527	0.06422271834864923	0.0867537718830497	is_normal
LINC01239	5.125059516302138	1.069122453537253e-6	1.6467919261607605e-6	4.7692540725694734e-6	is_normal
LINC01247	3.5803941881551915	4.8566216971545104e-4	2.8685971834820765e-6	0.0012845253933239744	is_normal
LINC01252	3.069511098079127	0.0026183007800866017	4.23789022897843e-4	0.00590826174427228	is_normal
